Title,Description,Priority,State,Project,Cycle,Labels,Estimate,External ID,Dependencies,Team,KPI
P-CW-001 - Modelo de servicio Premium y taxonomía,"Definir taxonomía oficial Premium: Resolución vs Mejora, reglas de naming y exclusión explícita de Premium como plan.",1,Backlog,CarsWise Premium,Premium Sprint 0,"carswise,premium,p0,premium-sprint-0,pm-copy",2,P-CW-001,,PM+COPY,Consistencia de naming en web y producto
P-CW-002 - Eventos Premium canónicos,"Definir eventos premium_service_view, premium_service_cta, premium_checkout_started, premium_checkout_completed, premium_refund_requested, premium_service_closed.",1,Backlog,CarsWise Premium,Premium Sprint 0,"carswise,premium,p0,premium-sprint-0,data",2,P-CW-002,P-CW-001,DATA,Cobertura de tracking Premium
P-CW-003 - Instrumentación base Premium,Implementar endpoint/backend para eventos Premium con idempotencia y validación de payload.,1,Backlog,CarsWise Premium,Premium Sprint 0,"carswise,premium,p0,premium-sprint-0,be",3,P-CW-003,P-CW-002,BE,Tasa de duplicados menor al 1%
P-CW-004 - Sección web Servicios bajo demanda,Crear sección separada de planes con header y copy de conexión Plus vs Premium.,1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,fe-copy",4,P-CW-004,P-CW-001,FE+COPY,Comprensión de propuesta Premium
P-CW-005 - Grid de tarjetas Premium,"Implementar tarjetas por servicio con precio, una línea de valor y CTA específico.",1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,fe",3,P-CW-005,P-CW-004,FE,CTR por tarjeta Premium
P-CW-006 - Tracking web Premium,Emitir premium_service_view y premium_service_cta por tarjeta y posición.,1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,fe-data",1,P-CW-006,P-CW-003|P-CW-005,FE+DATA,CTR por servicio
P-CW-007 - Checkout base de servicios Premium,"Flujo de pago único para servicios con resumen, T&C y confirmación.",1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,fe-be",4,P-CW-007,P-CW-005,FE+BE,Conversion checkout Premium
P-CW-008 - Política de reembolsos y cancelación,"Implementar reglas por servicio: fee venta, sello, informe y add-ons.",1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,pm-legal-be",3,P-CW-008,P-CW-007,PM+LEGAL+BE,Conflictos de cobro
P-CW-009 - Facturación automática Premium,Emitir comprobante/factura automática por compra de servicio Premium.,1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,be",2,P-CW-009,P-CW-007,BE,Cobertura de facturación
P-CW-010 - Add-on Destacar anuncio,Activación automática de boost en ranking por 7 o 14 días con precio 9/19.,1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,fe-be",4,P-CW-010,P-CW-007,FE+BE,Venta de destacar anuncio
P-CW-012 - Add-on Publicación premium,"Desbloquear ficha ampliada, fotos extra, video y badge vendedor verificado por 30 días.",1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,fe-be",4,P-CW-012,P-CW-007,FE+BE,Venta de publicación premium
P-CW-013 - Reglas de elegibilidad Premium por anuncio,Validar estado del anuncio y evitar conflictos entre add-ons incompatibles.,1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,be",2,P-CW-013,P-CW-010|P-CW-012,BE,Errores de activación Premium
P-CW-014 - Dashboard ingresos Premium Fase 1,"Panel de ingresos por add-on, tasa de compra y repetición.",1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,data",2,P-CW-014,P-CW-006|P-CW-007|P-CW-010|P-CW-012,DATA,Ingresos premium por servicio
P-CW-015 - QA end-to-end Fase 1 Premium,"Pruebas completas: vista servicio, checkout, activación, expiración y reembolso.",1,Backlog,CarsWise Premium,Premium Sprint 1,"carswise,premium,p0,premium-sprint-1,qa",3,P-CW-015,P-CW-010|P-CW-012|P-CW-013,QA,Incidencias de post-lanzamiento
