id,title,description,priority,team,sprint,estimate_days,dependencies,acceptance_criteria,kpi
CW-001,Definir diccionario de eventos,"Definir nombres, payload y reglas de versionado para user_registered, idcar_created, alert_configured, first_value_seen, plus_conversion_triggered",P0,DATA,Sprint 0,1,,"Documento aprobado por Producto y Tech",Cobertura de eventos canónicos
CW-002,Endpoint de tracking con idempotencia,"Crear endpoint backend para registrar eventos con control de duplicados por idempotency_key",P0,BE,Sprint 0,2,CW-001,"Endpoint operativo en staging y producción; sin duplicados",Tasa de duplicados menor al 1%
CW-003,Tracking de registro,"Emitir user_registered al completar alta",P0,FE,Sprint 0,0.5,CW-002,"Evento visible en dashboard en menos de 5 min",Conversión visita a registro
CW-004,Tracking de IDCar creada,"Emitir idcar_created al guardar primer vehículo",P0,FE,Sprint 0,0.5,CW-002,"Evento con user_id y car_id",Conversión registro a IDCar
CW-005,Tracking de alerta configurada,"Emitir alert_configured al activar primera alerta",P0,FE,Sprint 0,0.5,CW-002,"Evento incluye tipo_alerta y canal",Conversión IDCar a alerta
CW-006,Tracking de primer valor,"Emitir first_value_seen al abrir email de valor o módulo in-app",P0,FE+BE,Sprint 0,1,CW-002,"Evento único por primer valor",Time to first value
CW-007,Tracking de trigger Plus,"Emitir plus_conversion_triggered al iniciar flujo de upgrade",P0,FE+BE,Sprint 0,0.5,CW-002,"Evento trazable por cohorte",Conversión Free a Plus
CW-008,Dashboard del funnel,"Construir panel con 5 pasos y conversión por cohorte semanal",P0,DATA,Sprint 0,1.5,CW-003|CW-004|CW-005|CW-006|CW-007,"Panel con corte 7d y 30d",Drop-off por paso
CW-009,QA de eventos,"Suite QA para validar orden, payload y no duplicación de eventos",P0,QA,Sprint 0,1,CW-003|CW-004|CW-005|CW-006|CW-007,"Checklist verde en flujo feliz y edge cases",Errores de instrumentación
CW-010,Nueva página de pricing,"Separar visualmente Planes de Servicios bajo demanda",P0,FE,Sprint 1,2,,"Premium fuera de comparativa de planes",Comprensión de oferta en test
CW-011,Copy final de pricing,"Unificar copy en Control, Avisos, Ahorro y mensajes CTA",P0,COPY,Sprint 1,1,,"Copy aprobado por negocio",CTR de CTA Plus
CW-012,Comparativa Free y Plus,"Mostrar solo Free y Plus en tabla principal",P0,FE,Sprint 1,0.5,CW-010,"Tabla limpia sin Premium",Confusión Plus vs Premium
CW-013,Catalogo Premium separado,"Bloque independiente para Resolución y Mejora",P0,FE,Sprint 1,1,CW-010,"CTA por servicio disponible",Clicks a servicios premium
CW-014,Tracking de pricing,"Medir view y clics de CTAs en pricing",P0,FE+DATA,Sprint 1,0.5,CW-010,"Eventos pricing_view y pricing_cta_* activos",CTR por bloque
CW-015,Test de comprensión pricing,"Validación rápida con 5 usuarios para claridad de propuesta",P0,QA+PM,Sprint 1,1,CW-010|CW-011,"4 de 5 usuarios explican diferencia correcta",Tasa de comprensión
CW-016,Registro simplificado,"Reducir formulario a mínimos y eliminar fricción",P0,FE,Sprint 2,1,,"Alta completa en menos de 60 segundos",Abandono de formulario
CW-017,Pantalla Añade tu coche,"Redirección inmediata post registro a crear IDCar",P0,FE,Sprint 2,0.5,CW-016,"Pantalla mostrada al 100 por ciento de nuevos registros",Conversión registro a IDCar
CW-018,Creación IDCar en 2 pasos,"Implementar flujo corto con autocompletado cuando aplique",P0,FE+BE,Sprint 2,2,CW-017,"IDCar creada sin pasos avanzados",Tiempo medio de alta IDCar
