id,title,description,priority,team,sprint,estimate_days,dependencies,acceptance_criteria,kpi
P-CW-001,Modelo de servicio Premium y taxonomía,"Definir taxonomía oficial Premium: Resolución vs Mejora, reglas de naming y exclusión explícita de Premium como plan.",P0,PM+COPY,Premium Sprint 0,1,,"Documento aprobado con definiciones, alcance y lenguaje canónico",Consistencia de naming en web y producto
P-CW-002,Eventos Premium canónicos,"Definir eventos premium_service_view, premium_service_cta, premium_checkout_started, premium_checkout_completed, premium_refund_requested, premium_service_closed.",P0,DATA,Premium Sprint 0,1,P-CW-001,Diccionario de eventos versionado y aprobado,Cobertura de tracking Premium
P-CW-003,Instrumentación base Premium,Implementar endpoint/backend para eventos Premium con idempotencia y validación de payload.,P0,BE,Premium Sprint 0,1.5,P-CW-002,Eventos Premium almacenados sin duplicados,Tasa de duplicados menor al 1%
P-CW-004,Sección web Servicios bajo demanda,Crear sección separada de planes con header y copy de conexión Plus vs Premium.,P0,FE+COPY,Premium Sprint 1,2,P-CW-001,Premium visible fuera del comparador Free/Plus en desktop y mobile,Comprensión de propuesta Premium
P-CW-005,Grid de tarjetas Premium,"Implementar tarjetas por servicio con precio, una línea de valor y CTA específico.",P0,FE,Premium Sprint 1,1.5,P-CW-004,Se muestran 5 servicios con CTAs diferenciados,CTR por tarjeta Premium
P-CW-006,Tracking web Premium,Emitir premium_service_view y premium_service_cta por tarjeta y posición.,P0,FE+DATA,Premium Sprint 1,0.5,P-CW-003|P-CW-005,Eventos visibles por servicio y canal,CTR por servicio
P-CW-007,Checkout base de servicios Premium,"Flujo de pago único para servicios con resumen, T&C y confirmación.",P0,FE+BE,Premium Sprint 1,2,P-CW-005,Checkout completo funcional en staging,Conversion checkout Premium
P-CW-008,Política de reembolsos y cancelación,"Implementar reglas por servicio: fee venta, sello, informe y add-ons.",P0,PM+LEGAL+BE,Premium Sprint 1,1.5,P-CW-007,Política visible y aplicada en backend,Conflictos de cobro
P-CW-009,Facturación automática Premium,Emitir comprobante/factura automática por compra de servicio Premium.,P0,BE,Premium Sprint 1,1,P-CW-007,Factura generada en 100% de compras,Cobertura de facturación
P-CW-010,Add-on Destacar anuncio,Activación automática de boost en ranking por 7 o 14 días con precio 9/19.,P0,FE+BE,Premium Sprint 1,2,P-CW-007,Boost activo con expiración automática,Venta de destacar anuncio
P-CW-012,Add-on Publicación premium,"Desbloquear ficha ampliada, fotos extra, video y badge vendedor verificado por 30 días.",P0,FE+BE,Premium Sprint 1,2,P-CW-007,Campos premium activos solo para anuncios de pago,Venta de publicación premium
P-CW-013,Reglas de elegibilidad Premium por anuncio,Validar estado del anuncio y evitar conflictos entre add-ons incompatibles.,P0,BE,Premium Sprint 1,1,P-CW-010|P-CW-012,No hay activaciones inconsistentes,Errores de activación Premium
P-CW-014,Dashboard ingresos Premium Fase 1,"Panel de ingresos por add-on, tasa de compra y repetición.",P0,DATA,Premium Sprint 1,1,P-CW-006|P-CW-007|P-CW-010|P-CW-012,Reporte diario por servicio disponible,Ingresos premium por servicio
P-CW-015,QA end-to-end Fase 1 Premium,"Pruebas completas: vista servicio, checkout, activación, expiración y reembolso.",P0,QA,Premium Sprint 1,1.5,P-CW-010|P-CW-012|P-CW-013,Suite E2E verde en CI,Incidencias de post-lanzamiento
