Summary,Issue Type,Priority,Description,Labels,Sprint,Original Estimate,Dependencies,Acceptance Criteria,KPI,Team,External ID
P-CW-001 - Modelo de servicio Premium y taxonomía,Task,Highest,"Definir taxonomía oficial Premium: Resolución vs Mejora, reglas de naming y exclusión explícita de Premium como plan.",carswise premium execution-plan team-pm-copy premium-sprint-0,Premium Sprint 0,8h,,"Documento aprobado con definiciones, alcance y lenguaje canónico",Consistencia de naming en web y producto,PM+COPY,P-CW-001
P-CW-002 - Eventos Premium canónicos,Task,Highest,"Definir eventos premium_service_view, premium_service_cta, premium_checkout_started, premium_checkout_completed, premium_refund_requested, premium_service_closed.",carswise premium execution-plan team-data premium-sprint-0,Premium Sprint 0,8h,P-CW-001,Diccionario de eventos versionado y aprobado,Cobertura de tracking Premium,DATA,P-CW-002
P-CW-003 - Instrumentación base Premium,Task,Highest,Implementar endpoint/backend para eventos Premium con idempotencia y validación de payload.,carswise premium execution-plan team-be premium-sprint-0,Premium Sprint 0,12h,P-CW-002,Eventos Premium almacenados sin duplicados,Tasa de duplicados menor al 1%,BE,P-CW-003
P-CW-004 - Sección web Servicios bajo demanda,Task,Highest,Crear sección separada de planes con header y copy de conexión Plus vs Premium.,carswise premium execution-plan team-fe-copy premium-sprint-1,Premium Sprint 1,16h,P-CW-001,Premium visible fuera del comparador Free/Plus en desktop y mobile,Comprensión de propuesta Premium,FE+COPY,P-CW-004
P-CW-005 - Grid de tarjetas Premium,Task,Highest,"Implementar tarjetas por servicio con precio, una línea de valor y CTA específico.",carswise premium execution-plan team-fe premium-sprint-1,Premium Sprint 1,12h,P-CW-004,Se muestran 5 servicios con CTAs diferenciados,CTR por tarjeta Premium,FE,P-CW-005
P-CW-006 - Tracking web Premium,Task,Highest,Emitir premium_service_view y premium_service_cta por tarjeta y posición.,carswise premium execution-plan team-fe-data premium-sprint-1,Premium Sprint 1,4h,P-CW-003|P-CW-005,Eventos visibles por servicio y canal,CTR por servicio,FE+DATA,P-CW-006
P-CW-007 - Checkout base de servicios Premium,Task,Highest,"Flujo de pago único para servicios con resumen, T&C y confirmación.",carswise premium execution-plan team-fe-be premium-sprint-1,Premium Sprint 1,16h,P-CW-005,Checkout completo funcional en staging,Conversion checkout Premium,FE+BE,P-CW-007
P-CW-008 - Política de reembolsos y cancelación,Task,Highest,"Implementar reglas por servicio: fee venta, sello, informe y add-ons.",carswise premium execution-plan team-pm-legal-be premium-sprint-1,Premium Sprint 1,12h,P-CW-007,Política visible y aplicada en backend,Conflictos de cobro,PM+LEGAL+BE,P-CW-008
P-CW-009 - Facturación automática Premium,Task,Highest,Emitir comprobante/factura automática por compra de servicio Premium.,carswise premium execution-plan team-be premium-sprint-1,Premium Sprint 1,8h,P-CW-007,Factura generada en 100% de compras,Cobertura de facturación,BE,P-CW-009
P-CW-010 - Add-on Destacar anuncio,Task,Highest,Activación automática de boost en ranking por 7 o 14 días con precio 9/19.,carswise premium execution-plan team-fe-be premium-sprint-1,Premium Sprint 1,16h,P-CW-007,Boost activo con expiración automática,Venta de destacar anuncio,FE+BE,P-CW-010
P-CW-012 - Add-on Publicación premium,Task,Highest,"Desbloquear ficha ampliada, fotos extra, video y badge vendedor verificado por 30 días.",carswise premium execution-plan team-fe-be premium-sprint-1,Premium Sprint 1,16h,P-CW-007,Campos premium activos solo para anuncios de pago,Venta de publicación premium,FE+BE,P-CW-012
P-CW-013 - Reglas de elegibilidad Premium por anuncio,Task,Highest,Validar estado del anuncio y evitar conflictos entre add-ons incompatibles.,carswise premium execution-plan team-be premium-sprint-1,Premium Sprint 1,8h,P-CW-010|P-CW-012,No hay activaciones inconsistentes,Errores de activación Premium,BE,P-CW-013
P-CW-014 - Dashboard ingresos Premium Fase 1,Task,Highest,"Panel de ingresos por add-on, tasa de compra y repetición.",carswise premium execution-plan team-data premium-sprint-1,Premium Sprint 1,8h,P-CW-006|P-CW-007|P-CW-010|P-CW-012,Reporte diario por servicio disponible,Ingresos premium por servicio,DATA,P-CW-014
P-CW-015 - QA end-to-end Fase 1 Premium,Task,Highest,"Pruebas completas: vista servicio, checkout, activación, expiración y reembolso.",carswise premium execution-plan team-qa premium-sprint-1,Premium Sprint 1,12h,P-CW-010|P-CW-012|P-CW-013,Suite E2E verde en CI,Incidencias de post-lanzamiento,QA,P-CW-015
