Summary,Issue Type,Priority,Description,Labels,Sprint,Original Estimate,Dependencies,Acceptance Criteria,KPI,Team,External ID
CW-001 - Definir diccionario de eventos,Task,Highest,"Definir nombres, payload y reglas de versionado para user_registered, idcar_created, alert_configured, first_value_seen, plus_conversion_triggered",carswise execution-plan team-data sprint-0,Sprint 0,8h,,Documento aprobado por Producto y Tech,Cobertura de eventos canónicos,DATA,CW-001
CW-002 - Endpoint de tracking con idempotencia,Task,Highest,Crear endpoint backend para registrar eventos con control de duplicados por idempotency_key,carswise execution-plan team-be sprint-0,Sprint 0,16h,CW-001,Endpoint operativo en staging y producción; sin duplicados,Tasa de duplicados menor al 1%,BE,CW-002
CW-003 - Tracking de registro,Task,Highest,Emitir user_registered al completar alta,carswise execution-plan team-fe sprint-0,Sprint 0,4h,CW-002,Evento visible en dashboard en menos de 5 min,Conversión visita a registro,FE,CW-003
CW-004 - Tracking de IDCar creada,Task,Highest,Emitir idcar_created al guardar primer vehículo,carswise execution-plan team-fe sprint-0,Sprint 0,4h,CW-002,Evento con user_id y car_id,Conversión registro a IDCar,FE,CW-004
CW-005 - Tracking de alerta configurada,Task,Highest,Emitir alert_configured al activar primera alerta,carswise execution-plan team-fe sprint-0,Sprint 0,4h,CW-002,Evento incluye tipo_alerta y canal,Conversión IDCar a alerta,FE,CW-005
CW-006 - Tracking de primer valor,Task,Highest,Emitir first_value_seen al abrir email de valor o módulo in-app,carswise execution-plan team-fe-be sprint-0,Sprint 0,8h,CW-002,Evento único por primer valor,Time to first value,FE+BE,CW-006
CW-007 - Tracking de trigger Plus,Task,Highest,Emitir plus_conversion_triggered al iniciar flujo de upgrade,carswise execution-plan team-fe-be sprint-0,Sprint 0,4h,CW-002,Evento trazable por cohorte,Conversión Free a Plus,FE+BE,CW-007
CW-008 - Dashboard del funnel,Task,Highest,Construir panel con 5 pasos y conversión por cohorte semanal,carswise execution-plan team-data sprint-0,Sprint 0,12h,CW-003|CW-004|CW-005|CW-006|CW-007,Panel con corte 7d y 30d,Drop-off por paso,DATA,CW-008
CW-009 - QA de eventos,Task,Highest,"Suite QA para validar orden, payload y no duplicación de eventos",carswise execution-plan team-qa sprint-0,Sprint 0,8h,CW-003|CW-004|CW-005|CW-006|CW-007,Checklist verde en flujo feliz y edge cases,Errores de instrumentación,QA,CW-009
CW-010 - Nueva página de pricing,Task,Highest,Separar visualmente Planes de Servicios bajo demanda,carswise execution-plan team-fe sprint-1,Sprint 1,16h,,Premium fuera de comparativa de planes,Comprensión de oferta en test,FE,CW-010
CW-011 - Copy final de pricing,Task,Highest,"Unificar copy en Control, Avisos, Ahorro y mensajes CTA",carswise execution-plan team-copy sprint-1,Sprint 1,8h,,Copy aprobado por negocio,CTR de CTA Plus,COPY,CW-011
CW-012 - Comparativa Free y Plus,Task,Highest,Mostrar solo Free y Plus en tabla principal,carswise execution-plan team-fe sprint-1,Sprint 1,4h,CW-010,Tabla limpia sin Premium,Confusión Plus vs Premium,FE,CW-012
