ticket_id,phase,owner_role,pre_dev_checklist,dev_checklist,qa_checklist,data_checklist,release_checklist
CW-016,Sprint 2,FE,"copy aprobado; dependencia CW-015 cerrada","form minimo implementado; validaciones basicas; tracking user_registered intacto","alta correcta en desktop/mobile; errores visibles","conversion visita->registro sin caidas","feature flag listo; rollback definido"
CW-017,Sprint 2,FE,"flujo post-registro definido","redireccion inmediata a anade tu coche","sin salto de pantalla ni bucles","impacto en registro->idcar medido","deploy controlado"
CW-018,Sprint 2,FE+BE,"API IDCar estable","alta IDCar en 2 pasos; autocompletado","casos sin matricula y con matricula","conversion registro->idcar","logs de errores activos"
CW-019,Sprint 2,FE,"reglas alerta inicial definidas","selector simple de primera alerta","configuracion exitosa y persistida","idcar->alerta visible por cohorte","release notes actualizadas"
CW-023,Sprint 2,BE,"esquema aprobado","tabla/estado alertas + migracion","migracion forward/backward","integridad de estados","backup previo aplicado"
CW-024,Sprint 2,BE,"reglas ITV validadas","job 30 y 7 dias","sin duplicados por ejecucion","volumen alertas ITV por dia","cron monitorizado"
CW-025,Sprint 2,BE,"campos seguro definidos","job de vencimiento seguro","casos sin fecha y fecha invalida","cobertura alerta seguro","alerta de fallo configurada"
CW-026,Sprint 2,BE,"calendario impuestos definido","job estacional impuestos","prueba por periodos","cobertura alerta impuestos","logs de ejecucion"
CW-027,Sprint 2,BE,"proveedor email operativo","retry y logging de envio","simular fallos proveedor","delivery/open rate","limites anti-spam activos"
CW-028,Sprint 2,FE,"API alertas lista","bandeja in-app leido/no leido","render y orden correcto","retorno app por alertas","sin regresion UI"
CW-031,Sprint 2,BE,"fuente de valor mercado definida","calculo valor inicial tras idcar_created","casos sin datos suficientes","time-to-first-value P50/P90","fallback de contenido"
CW-032,Sprint 2,COPY+BE,"plantilla validada PM","email primer valor publicado","links y merge vars correctos","CTR primer valor","versionado plantilla"
CW-033,Sprint 2,BE,"SLA objetivo definido","pipeline de envio <24h","pruebas con colas retrasadas","cumplimiento SLA","alertas de incumplimiento"
CW-034,Sprint 2,FE,"payload valor listo","widget in-app implementado","visualizacion coherente","first_value_seen in-app","feature flag"
CW-037,Sprint 3,FE,"regla trigger aprobada","modal/cta contextual post-valor","no interfiere onboarding","CVR con first_value_seen","control de frecuencia"
CW-038,Sprint 3,FE+BE,"pasarela y trial definidos","checkout plus completo","escenarios error y retry","conversion Free->Plus","rollback de pago"
CW-039,Sprint 3,BE,"modelo plan/trial aprobado","persistencia de estado y fechas","consistencia API estado","errores de estado","migracion validada"
CW-040,Sprint 3,DATA,"eventos conversion activos","dashboard cohorte conversion","consistencia de numeradores/denominadores","CVR por cohorte","reporte semanal"
P-CW-016,Sprint 3,DATA+BE,"fuente datos premium validada","motor informe avanzado","tiempo generacion y calidad salida","tiempo entrega informe","fallback de datos"
P-CW-017,Sprint 3,BE+FE,"plantilla PDF definida","generacion PDF + entrega app/email","descarga y visualizacion","apertura informe","versionado de plantilla"
P-CW-019,Sprint 3,BIZDEV+PM,"partner evaluado legal/comercial","acuerdo firmado y operativo","validacion de clausulas de pago","ingreso por lead","no lanzar sin firma"
P-CW-020,Sprint 3,FE+BE,"partner activo","flujo revision seguro + tracking lead","lead enviado correcto","leads cualificados","switch off rapido"
P-CW-030,Sprint 3,BE+OPS+QA,"politica de incidencias definida","modulo soporte/disputas operativo","SLA de respuesta probado","tiempo resolucion incidencias","playbook soporte publicado"
